t_index	term	df
1458	burn	47
1459	burner	2
1460	burnt	3
1461	burri	1
1462	burst	10
1463	burton	5
1464	buse	19
1465	bush	99
1466	bushi	1
1467	bushnel	1
1468	busi	90
1469	busiest	1
1470	busili	1
1471	businessman	54
1472	businessmen	5
1473	buss	1
1474	bust	7
1475	bustamant	1
1476	bustl	5
1477	butcher	4
1478	butter	1
1479	button	4
1480	buttress	5
1481	buy	44
1482	buyer	2
1483	buzz	6
1484	bye	5
1485	bypass	5
1486	byrd	6
1487	c	49
1488	ca	1
1489	cab	2
1490	cabana	1
1491	cabin	2
1492	cabinet	32
1493	cabl	5
1494	cacak	8
1495	cach	2
1496	cadav	1
1497	cadet	1
1498	caeti	1
1499	cafe	4
1500	cafetalon	1
1501	cafeteria	1
1502	cage	5
1503	cagl	1
1504	cahokia	3
1505	cairo	5
1506	caisson	1
1507	cake	5
1508	cal	2
1509	calam	5
1510	calamit	1
1511	calatrava	2
1512	calcul	10
1513	calculu	1
1514	calcutta	3
1515	calderon	1
1516	calena	1
1517	caley	1
1518	calhoun	1
1519	calib	4
1520	calif	7
1521	california	32
1522	calina	1
1523	calix	1
1524	call	371
1525	callahan	1
1526	callen	3
1527	caller	5
1528	callou	1
1529	callous	1
1530	calm	38
1531	calmli	1
1532	calvario	6
1533	calvert	1
1534	cambodia	3
1535	camden	1
1536	came	236
1537	camel	3
1538	camera	26
1539	cameraman	3
1540	cameroon	2
1541	camouflag	7
1542	camp	49
1543	campaign	155
1544	campbel	1
1545	campfir	3
1546	campground	1
1547	campu	2
1548	can	2
1549	canada	14
1550	canal	21
1551	canberra	1
1552	cancel	38
1553	cancer	45
1554	candid	144
1555	candidaci	15
1556	candiotti	2
1557	candl	3
1558	candlelight	4
1559	candor	2
1560	cane	2
1561	canist	2
1562	cannaday	3
1563	cannistraro	4
1564	cannon	3
1565	cannot	62
1566	canon	1
1567	canopi	2
1568	canton	1
1569	cantwel	4
1570	canva	3
1571	canvass	3
1572	cap	19
1573	capabl	25
1574	capac	15
1575	cape	2
1576	capit	159
1577	capitalist	2
1578	capitol	28
1579	capitul	1
1580	capp	1
1581	capriati	33
1582	capsul	2
1583	capt	30
1584	captain	28
1585	captiv	6
1586	captor	4
1587	captur	58
1588	car	99
1589	caraca	2
1590	carat	1
1591	caravan	3
1592	carbon	2
1593	card	21
1594	cardboard	1
1595	cardiopulmonari	1
1596	care	85
1597	career	50
1598	caretak	4
1599	carey	1
1600	cargo	12
1601	caribbean	2
1602	carin	1
1603	cario	1
1604	carjack	2
1605	carl	4
1606	carlo	29
1607	carlson	1
1608	carlton	1
1609	carman	1
1610	carmelo	2
1611	carmen	4
1612	carmodi	4
1613	carnahan	66
1614	carnahand	1
1615	carniv	1
1616	carol	6
1617	carolina	5
1618	carpent	7
1619	carper	8
1620	carpet	5
1621	carpetbagg	2
1622	carr	1
1623	carri	183
1624	carrier	20
1625	carrol	2
1626	carrot	1
1627	carson	5
1628	cart	1
1629	carter	10
1630	carthag	2
1631	carv	9
1632	carver	1
1633	case	169
1634	casetch	1
1635	cash	24
1636	cashier	1
1637	casino	1
1638	casket	16
1639	cast	47
1640	castellano	2
1641	castiel	1
1642	castil	1
1643	castleburi	4
1644	castro	9
1645	casual	2
1646	casualti	22
1647	cat	2
1648	cataclysm	1
1649	catalyst	1
1650	catastroph	12
1651	catcal	1
1652	catch	16
1653	cate	4
1654	categor	1
1655	categori	1
1656	caterpillar	2
1657	cathedr	1
1658	catherin	3
1659	cathi	1
1660	cathol	7
1661	catholicrelief	1
1662	cattl	2
1663	caucasian	2
1664	caught	46
1665	caus	132
1666	caution	18
1667	cautiou	19
1668	cautious	2
1669	cave	3
1670	cavern	1
1671	cavort	1
1672	cawl	3
1673	cayman	3
1674	cb	6
1675	cd	1
1676	ceas	14
1677	ceaselessli	2
1678	ceausescu	1
1679	cecil	1
1680	cedar	2
1681	cede	3
1682	cedomir	1
1683	cedric	6
1684	ceil	2
1685	celebr	83
1686	celebrateor	1
1687	celera	1
1688	celest	1
1689	cell	23
1690	cellblock	1
1691	cellphon	2
1692	cellular	10
1693	cement	7
1694	cemeteri	8
